,Crash ID,Record Type,Vehicle ID,Vehicle Coded Seq#,Total Count of Persons Involved,Total Persons Using Safety Equipment  ,Total Persons Not Using Safety Equipment,Total Persons Safety Equipment Use Unknown,Vehicle Ownership Code,Vehicle Special Use Code,Vehicle Type Code,Emergency Use Flag,Number of Trailers,Vehicle Movement Code,Vehicle Action Code,Vehicle Cause 1 Code,Vehicle Cause 2 Code,Vehicle Cause 3 Code,Vehicle Event 1 Code,Vehicle Event 2 Code,Vehicle Event 3 Code,Vehicle Exceeded Posted Speed Flag,Vehicle Hit & Run Flag,Safety Equipment Used Quantity
29,1815964,2,3421314.0,2.0,9.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,10.0,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
32,1816804,2,3422688.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,96.0,10.0,128.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
35,1826266,2,3439374.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,,,,1.0,0.0,2.0,0.0,0.0,2.0,1.0
38,1826266,2,3439375.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
41,1826321,2,3439466.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,4.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
43,1826321,2,3439467.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0
47,1826490,2,3439761.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,124.0,79.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
50,1826513,2,3439797.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,128.0,10.0,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
52,1826513,2,3439798.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
54,1826513,2,3439799.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,22.0,0.0,10.0,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0
58,1826673,2,3440070.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
64,1826794,2,3440278.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
66,1826794,2,3440279.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,7.0,3.0,12.0,0.0,13.0,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0
69,1826794,2,3440280.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0
72,1826794,2,3440281.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,,,,0.0,0.0,4.0,0.0,0.0,4.0,0.0
78,1826971,2,3440599.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,4.0,0.0,0.0,,,,0.0,0.0,3.0,0.0,0.0,3.0,1.0
82,1826971,2,3440600.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,6.0,2.0,15.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
85,1827119,2,3440861.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
87,1827119,2,3440862.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,5.0,7.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
90,1827863,2,3442222.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
94,1827872,2,3442235.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,13.0,121.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
96,1827872,2,3442236.0,2.0,1.0,0.0,1.0,0.0,0.0,7.0,3.0,7.0,9.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,1827907,2,3442305.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
100,1827907,2,3442306.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
103,1828231,2,3442919.0,1.0,1.0,0.0,9.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,10.0,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
105,1828231,2,3442920.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
108,1828287,2,3443029.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,7.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
110,1828287,2,3443030.0,2.0,1.0,0.0,4.0,0.0,0.0,6.0,7.0,3.0,11.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
113,1828314,2,3443074.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,40.0,62.0,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
116,1828373,2,3443178.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,5.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
118,1828373,2,3443179.0,2.0,1.0,0.0,9.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,,,,1.0,0.0,1.0,0.0,0.0,1.0,0.0
121,1828552,2,3443504.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
123,1828552,2,3443505.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,5.0,11.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
126,1828709,2,3443834.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
128,1828709,2,3443835.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,4.0,8.0,11.0,0.0,13.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
130,1828709,2,3443836.0,3.0,1.0,0.0,1.0,0.0,0.0,6.0,4.0,8.0,11.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
133,1828977,2,3444351.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
135,1828977,2,3444352.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,4.0,8.0,11.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
138,1828982,2,3444361.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
140,1828982,2,3444362.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,3.0,7.0,12.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
143,1829693,2,3445767.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,128.0,124.0,77.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0
147,1829718,2,3445819.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
149,1829718,2,3445820.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,5.0,7.0,6.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0
152,1829755,2,3445889.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,128.0,79.0,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
155,1829763,2,3445902.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,2.0,1.0
157,1829763,2,3445903.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,7.0,3.0,11.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0
161,1829797,2,3445962.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
163,1829797,2,3445963.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,5.0,0.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0
166,1829853,2,3446070.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,128.0,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
168,1829853,2,3446071.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,128.0,,,0.0,0.0,4.0,0.0,0.0,4.0,0.0
172,1829867,2,3446098.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,129.0,128.0,,0.0,0.0,0.0,1.0,0.0,1.0,1.0
174,1829867,2,3446099.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
177,1829871,2,3446106.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,128.0,58.0,62.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
180,1829928,2,3446228.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,5.0,1.0,0.0,0.0,,,,0.0,0.0,3.0,0.0,0.0,3.0,1.0
184,1829928,2,3446229.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,,,,0.0,0.0,2.0,2.0,0.0,4.0,0.0
190,1829983,2,3446340.0,1.0,1.0,0.0,9.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,10.0,,,0.0,0.0,0.0,1.0,0.0,1.0,1.0
193,1829988,2,3446354.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,35.0,128.0,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
196,1830030,2,3446435.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,6.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
198,1830030,2,3446436.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,6.0,0.0,,,,0.0,0.0,4.0,0.0,0.0,4.0,0.0
203,1830038,2,3446451.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,124.0,77.0,10.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0
206,1830046,2,3446464.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,1.0,0.0,62.0,10.0,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
209,1830165,2,3446710.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,7.0,0.0,124.0,77.0,10.0,0.0,0.0,3.0,0.0,0.0,3.0,1.0
213,1830217,2,3446808.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,128.0,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
215,1830217,2,3446809.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
218,1830243,2,3446869.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
220,1830243,2,3446870.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,5.0,0.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0
224,1831161,2,3448666.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,4.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
226,1831161,2,3448667.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,4.0,6.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
229,1831660,2,3449621.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
231,1831660,2,3449622.0,2.0,1.0,0.0,4.0,0.0,1.0,3.0,8.0,2.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
234,1831698,2,3449692.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
236,1831698,2,3449693.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,1.0,5.0,11.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
239,1832302,2,3450860.0,1.0,9.0,9.0,1.0,0.0,0.0,1.0,8.0,4.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,1.0,1.0,1.0
241,1832302,2,3450861.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,8.0,4.0,11.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
244,1832348,2,3450955.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
246,1832348,2,3450956.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,15.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
249,1833315,2,3452699.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,8.0,2.0,19.0,0.0,62.0,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
252,1833381,2,3452805.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,,,,0.0,0.0,4.0,0.0,0.0,4.0,1.0
254,1833381,2,3452806.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,4.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
257,1833535,2,3453091.0,1.0,1.0,0.0,1.0,0.0,0.0,2.0,4.0,1.0,0.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,1.0
259,1833535,2,3453092.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,13.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
261,1833535,2,3453093.0,3.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,22.0,0.0,13.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
263,1833535,2,3453094.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,22.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
266,1833678,2,3453351.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,7.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
268,1833678,2,3453352.0,2.0,1.0,0.0,1.0,0.0,0.0,8.0,7.0,3.0,8.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,1833867,2,3453707.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
274,1833899,2,3453766.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
276,1833899,2,3453767.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,7.0,1.0,0.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0
280,1833971,2,3453899.0,1.0,9.0,9.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
282,1833971,2,3453900.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
285,1833979,2,3453916.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,1.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
287,1833979,2,3453917.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,3.0,7.0,11.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
290,1833986,2,3453930.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
292,1833986,2,3453931.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,7.0,3.0,11.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0
296,1834003,2,3453959.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
298,1834003,2,3453960.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,7.0,3.0,11.0,0.0,,,,0.0,0.0,3.0,0.0,0.0,3.0,0.0
301,1834029,2,3453999.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
303,1834029,2,3454000.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,3.0,7.0,11.0,0.0,4.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
306,1834096,2,3454139.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
308,1834096,2,3454140.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,7.0,3.0,11.0,0.0,4.0,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
311,1834202,2,3454350.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
313,1834202,2,3454351.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,5.0,1.0,11.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
316,1834407,2,3454750.0,1.0,5.0,0.0,1.0,0.0,0.0,1.0,3.0,7.0,0.0,0.0,62.0,,,0.0,1.0,0.0,2.0,0.0,2.0,1.0
320,1834440,2,3454816.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,4.0,8.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
322,1834440,2,3454817.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,4.0,8.0,11.0,0.0,,,,0.0,0.0,1.0,0.0,1.0,2.0,0.0
326,1834574,2,3455078.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,15.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
328,1834574,2,3455079.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,5.0,1.0,15.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0
332,1834655,2,3455237.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
334,1834655,2,3455238.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,7.0,3.0,11.0,0.0,,,,0.0,0.0,4.0,0.0,0.0,4.0,0.0
340,1834846,2,3455611.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,2.0,6.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
343,1834858,2,3455630.0,1.0,0.0,0.0,1.0,0.0,9.0,3.0,8.0,3.0,15.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
345,1834858,2,3455631.0,2.0,0.0,0.0,1.0,0.0,9.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
348,1835060,2,3455994.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,3.0,7.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
351,1835061,2,3455995.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,3.0,7.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
354,1835182,2,3456216.0,1.0,0.0,0.0,1.0,0.0,9.0,3.0,5.0,7.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
356,1835182,2,3456217.0,2.0,0.0,0.0,1.0,0.0,9.0,1.0,1.0,5.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
359,1835197,2,3456247.0,1.0,0.0,0.0,1.0,0.0,9.0,2.0,5.0,3.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
361,1835197,2,3456248.0,2.0,0.0,0.0,1.0,0.0,9.0,6.0,5.0,3.0,13.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
364,1835205,2,3456264.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,3.0,7.0,7.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
367,1835211,2,3456274.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
369,1835211,2,3456275.0,2.0,1.0,0.0,1.0,0.0,0.0,6.0,7.0,3.0,11.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0
373,1835217,2,3456284.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,7.0,3.0,7.0,0.0,,,,0.0,0.0,4.0,0.0,0.0,4.0,1.0
376,1835225,2,3456296.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,4.0,8.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
378,1835225,2,3456297.0,2.0,0.0,0.0,1.0,0.0,9.0,3.0,2.0,4.0,18.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
381,1835231,2,3456309.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,8.0,4.0,0.0,0.0,62.0,58.0,53.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0
385,1835315,2,3456464.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,2.0,3.0,1.0
388,1835316,2,3456465.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,4.0,8.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
390,1835316,2,3456466.0,2.0,0.0,0.0,1.0,0.0,9.0,6.0,4.0,8.0,11.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0
393,1835322,2,3456476.0,1.0,0.0,0.0,1.0,0.0,9.0,3.0,2.0,4.0,18.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,1.0
395,1835322,2,3456477.0,2.0,0.0,0.0,1.0,0.0,9.0,1.0,4.0,8.0,0.0,0.0,,,,0.0,0.0,3.0,0.0,0.0,3.0,0.0
398,1835330,2,3456491.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
400,1835330,2,3456492.0,2.0,0.0,0.0,1.0,0.0,9.0,6.0,7.0,3.0,11.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,0.0
403,1835332,2,3456495.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,8.0,4.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
406,1835374,2,3456574.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,4.0,8.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0
408,1835374,2,3456575.0,2.0,0.0,0.0,1.0,0.0,9.0,6.0,4.0,8.0,11.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0
411,1835382,2,3456590.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,8.0,4.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
413,1835382,2,3456591.0,2.0,0.0,0.0,1.0,0.0,9.0,6.0,8.0,4.0,11.0,0.0,,,,0.0,0.0,2.0,0.0,0.0,2.0,0.0
416,1835386,2,3456598.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,7.0,3.0,0.0,0.0,,,,0.0,0.0,1.0,0.0,0.0,1.0,1.0
