,Crash ID,Record Type,Vehicle ID,Participant ID,Participant Display Seq#,Vehicle Coded Seq#,Participant Vehicle Seq#,Safety Equipment Un-used Quantity,Safety Equipment Use Unknown Quantity,Vehicle Occupant Count,Vehicle Striking Flag,Participant Type Code,Participant Hit & Run Flag,Public Employee Flag,Sex,Age,Driver License Status,Driver Residence Status,Injury Severity,Participant Safety Equipment Use Code,Airbag Deployment,Non-Motorist Movement Code,Non-Motorist Travel Direction From,Non-Motorist Travel Direction To,Non-Motorist Location,Participant Action,Participant Error 1 Code,Participant Error 2 Code,Participant Error 3 Code,Participant Cause 3 Code,Participant Event 1 Code,Participant Event 2 Code,Participant Event 3 Code
23,1812266,3,3415032.0,3893226.0,4.0,3.0,1.0,1.0,0.0,0.0,2.0,23.0,1.0,2.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
25,1812266,3,3415033.0,3893227.0,5.0,4.0,1.0,1.0,0.0,0.0,2.0,60.0,1.0,1.0,4.0,9.0,1.0,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
28,1815964,3,3421313.0,3899543.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,61.0,1.0,1.0,1.0,2.0,,,,,,0.0,28.0,4.0,,2.0,,,,0.0,0.0,1.0,0.0
30,1815964,3,3421314.0,3899544.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,20.0,1.0,1.0,3.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
33,1816804,3,3422688.0,3900916.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,29.0,1.0,1.0,1.0,0.0,1.0,,,,,0.0,50.0,81.0,,30.0,,,1.0,20.0,9.0,1.0,0.0
36,1826266,3,3439374.0,3916978.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,20.0,1.0,2.0,2.0,2.0,1.0,,,,,38.0,80.0,50.0,,27.0,5.0,30.0,,,0.0,0.0,0.0
37,1826266,3,3439374.0,3916979.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,23.0,,,2.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
39,1826266,3,3439375.0,3916980.0,3.0,2.0,1.0,1.0,0.0,0.0,1.0,46.0,2.0,4.0,3.0,2.0,1.0,,,,,0.0,0.0,,,27.0,,,,,0.0,0.0,0.0
42,1826321,3,3439466.0,3917101.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,26.0,1.0,1.0,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
44,1826321,3,3439467.0,3917102.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,46.0,1.0,1.0,3.0,2.0,1.0,,,,,0.0,28.0,4.0,,2.0,8.0,,,,0.0,0.0,0.0
45,1826321,3,3439467.0,3917103.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,16.0,,,2.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
48,1826490,3,3439761.0,3917488.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,20.0,1.0,1.0,2.0,2.0,1.0,,,,,17.0,51.0,50.0,79.0,33.0,30.0,,,86.0,0.0,0.0,0.0
51,1826513,3,3439797.0,3917534.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,28.0,1.0,1.0,3.0,2.0,1.0,,,,,17.0,51.0,44.0,79.0,33.0,27.0,,,21.0,1.0,,0.0
53,1826513,3,3439798.0,3917535.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,39.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
55,1826513,3,3439799.0,3917536.0,3.0,3.0,1.0,1.0,0.0,0.0,1.0,62.0,1.0,1.0,2.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
56,1826513,3,3439799.0,3917537.0,4.0,3.0,2.0,2.0,0.0,0.0,1.0,59.0,,,2.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
59,1826673,3,3440070.0,3917894.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,64.0,1.0,1.0,9.0,2.0,,,,,,0.0,29.0,,,2.0,,,,,,,0.0
60,1826673,3,0.0,3917895.0,2.0,,1.0,3.0,0.0,0.0,2.0,9.0,,,2.0,,,1.0,5.0,1.0,3.0,34.0,0.0,,,0.0,,,,,,,0.0
61,1826673,3,0.0,3917896.0,3.0,,2.0,3.0,0.0,0.0,2.0,7.0,,,3.0,,,1.0,5.0,1.0,3.0,34.0,0.0,,,0.0,,,,,,,0.0
62,1826673,3,0.0,3917897.0,4.0,,3.0,3.0,0.0,0.0,1.0,44.0,,,4.0,,,1.0,5.0,1.0,3.0,34.0,0.0,,,0.0,,,,,,,0.0
65,1826794,3,3440278.0,3918161.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,56.0,1.0,2.0,9.0,2.0,0.0,,,,,0.0,43.0,26.0,52.0,27.0,7.0,32.0,,,0.0,0.0,0.0
67,1826794,3,3440279.0,3918162.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,25.0,1.0,2.0,2.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
68,1826794,3,3440279.0,3918163.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,24.0,,,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
70,1826794,3,3440280.0,3918164.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,57.0,1.0,2.0,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
71,1826794,3,3440280.0,3918165.0,5.0,3.0,2.0,2.0,0.0,0.0,2.0,53.0,,,3.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
73,1826794,3,3440281.0,3918166.0,6.0,4.0,1.0,1.0,0.0,0.0,1.0,49.0,2.0,4.0,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
74,1826794,3,3440281.0,3918167.0,7.0,4.0,2.0,2.0,0.0,0.0,2.0,72.0,,,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
75,1826794,3,3440281.0,3918168.0,8.0,4.0,3.0,2.0,0.0,0.0,2.0,48.0,,,3.0,2.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
76,1826794,3,3440281.0,3918169.0,9.0,4.0,4.0,2.0,0.0,0.0,2.0,10.0,,,3.0,2.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
79,1826971,3,3440599.0,3918577.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,38.0,1.0,1.0,2.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
80,1826971,3,3440599.0,3918578.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,29.0,,,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
81,1826971,3,3440599.0,3918579.0,3.0,1.0,3.0,2.0,0.0,0.0,1.0,2.0,,,9.0,4.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
83,1826971,3,3440600.0,3918580.0,4.0,2.0,1.0,1.0,0.0,0.0,1.0,87.0,1.0,1.0,3.0,2.0,0.0,,,,,0.0,28.0,,,2.0,,,,,0.0,0.0,0.0
86,1827119,3,3440861.0,3918896.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,25.0,1.0,1.0,2.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
88,1827119,3,3440862.0,3918897.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,38.0,1.0,1.0,3.0,2.0,1.0,,,,,0.0,28.0,4.0,,2.0,8.0,,,,0.0,0.0,0.0
91,1827863,3,3442222.0,3920553.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,21.0,1.0,1.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
92,1827863,3,0.0,3920554.0,2.0,,1.0,3.0,0.0,0.0,1.0,24.0,,,2.0,,,0.0,0.0,0.0,1.0,50.0,70.0,71.0,,19.0,18.0,,,,,,0.0
95,1827872,3,3442235.0,3920571.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,41.0,1.0,1.0,2.0,9.0,,,,,,0.0,51.0,81.0,,33.0,,,,85.0,1.0,,0.0
99,1827907,3,3442305.0,3920650.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,19.0,2.0,4.0,4.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,87.0,0.0,0.0,0.0
101,1827907,3,3442306.0,3920651.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,66.0,1.0,1.0,2.0,2.0,1.0,,,,,0.0,28.0,,,2.0,,,,87.0,0.0,0.0,0.0
104,1828231,3,3442919.0,3921428.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,33.0,1.0,1.0,2.0,6.0,,,,,,0.0,51.0,44.0,,33.0,5.0,,,22.0,1.0,,0.0
106,1828231,3,3442920.0,3921429.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,29.0,2.0,4.0,4.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
109,1828287,3,3443029.0,3921575.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,63.0,1.0,1.0,2.0,2.0,1.0,,,,,0.0,45.0,,,13.0,,,,,,,0.0
111,1828287,3,3443030.0,3921576.0,2.0,2.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
114,1828314,3,3443074.0,3921628.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,41.0,1.0,1.0,2.0,9.0,,,,,,0.0,51.0,81.0,,33.0,,,,11.0,1.0,,0.0
117,1828373,3,3443178.0,3921755.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,65.0,1.0,1.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
119,1828373,3,3443179.0,3921756.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,26.0,1.0,1.0,2.0,6.0,,,,,,0.0,28.0,34.0,50.0,2.0,6.0,30.0,1.0,86.0,0.0,0.0,0.0
122,1828552,3,3443504.0,3922161.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,22.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,26.0,,,29.0,,,,,,,0.0
124,1828552,3,3443505.0,3922162.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,24.0,1.0,1.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
127,1828709,3,3443834.0,3922555.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,21.0,0.0,1.0,9.0,9.0,,,,,,0.0,26.0,,,29.0,,,,,,,0.0
129,1828709,3,3443835.0,3922556.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,66.0,2.0,4.0,3.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
131,1828709,3,3443836.0,3922557.0,3.0,3.0,1.0,1.0,0.0,0.0,9.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
134,1828977,3,3444351.0,3923159.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,33.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,26.0,,,29.0,,,,,,,0.0
136,1828977,3,3444352.0,3923160.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,48.0,1.0,1.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
139,1828982,3,3444361.0,3923171.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,22.0,1.0,1.0,4.0,9.0,,,,,,0.0,0.0,,,10.0,,,,,,,0.0
141,1828982,3,3444362.0,3923172.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,40.0,1.0,1.0,4.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
144,1829693,3,3445767.0,3924865.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,24.0,1.0,2.0,3.0,2.0,1.0,,,,,17.0,79.0,80.0,,10.0,,,,86.0,0.0,0.0,0.0
145,1829693,3,3445767.0,3924866.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,30.0,,,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
148,1829718,3,3445819.0,3924926.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,26.0,1.0,1.0,9.0,2.0,,,,,,38.0,16.0,43.0,42.0,27.0,7.0,,,,0.0,0.0,0.0
150,1829718,3,3445820.0,3924927.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,34.0,1.0,2.0,4.0,2.0,9.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
153,1829755,3,3445889.0,3925006.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,20.0,1.0,1.0,3.0,2.0,1.0,,,,,38.0,79.0,81.0,,27.0,5.0,,93.0,86.0,0.0,0.0,0.0
156,1829763,3,3445902.0,3925020.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,23.0,1.0,2.0,9.0,9.0,,,,,,0.0,26.0,,,29.0,,,,,,,0.0
158,1829763,3,3445903.0,3925021.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,49.0,1.0,2.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
159,1829763,3,3445903.0,3925022.0,3.0,2.0,2.0,2.0,0.0,0.0,1.0,14.0,,,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
162,1829797,3,3445962.0,3925088.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,47.0,1.0,2.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
164,1829797,3,3445963.0,3925089.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,21.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,4.0,28.0,,8.0,2.0,,,,0.0,0.0,0.0
167,1829853,3,3446070.0,3925212.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,27.0,1.0,2.0,9.0,2.0,1.0,,,,,17.0,79.0,80.0,28.0,5.0,2.0,,,,0.0,0.0,0.0
169,1829853,3,3446071.0,3925213.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,27.0,2.0,4.0,4.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
170,1829853,3,3446071.0,3925214.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,26.0,,,4.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
173,1829867,3,3446098.0,3925245.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,23.0,1.0,2.0,4.0,1.0,,,,,,0.0,4.0,28.0,,8.0,2.0,,,,0.0,0.0,0.0
175,1829867,3,3446099.0,3925246.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,32.0,1.0,2.0,4.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
178,1829871,3,3446106.0,3925253.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,79.0,1.0,1.0,4.0,2.0,0.0,,,,,28.0,79.0,80.0,83.0,17.0,,,,,0.0,0.0,0.0
181,1829928,3,3446228.0,3925398.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,32.0,2.0,4.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
182,1829928,3,3446228.0,3925399.0,2.0,1.0,2.0,2.0,0.0,0.0,1.0,34.0,,,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
183,1829928,3,3446228.0,3925400.0,3.0,1.0,3.0,2.0,0.0,0.0,1.0,34.0,,,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
185,1829928,3,3446229.0,3925401.0,4.0,2.0,1.0,1.0,0.0,0.0,2.0,20.0,1.0,1.0,9.0,2.0,1.0,,,,,0.0,21.0,28.0,,3.0,2.0,,,,0.0,0.0,0.0
186,1829928,3,3446229.0,3925402.0,5.0,2.0,2.0,2.0,0.0,0.0,2.0,26.0,,,4.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
187,1829928,3,3446229.0,3925403.0,6.0,2.0,3.0,2.0,0.0,0.0,2.0,24.0,,,3.0,0.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
188,1829928,3,3446229.0,3925404.0,7.0,2.0,4.0,2.0,0.0,0.0,2.0,29.0,,,3.0,0.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
191,1829983,3,3446340.0,3925538.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,28.0,1.0,2.0,3.0,0.0,,,,,,17.0,79.0,,,10.0,,,1.0,86.0,0.0,0.0,0.0
194,1829988,3,3446354.0,3925559.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,60.0,1.0,1.0,3.0,2.0,1.0,,,,,0.0,0.0,,,12.0,,,,,0.0,0.0,0.0
197,1830030,3,3446435.0,3925651.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,31.0,2.0,1.0,9.0,2.0,1.0,,,,,38.0,16.0,42.0,,27.0,29.0,,,,0.0,0.0,0.0
199,1830030,3,3446436.0,3925652.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,60.0,1.0,1.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
200,1830030,3,3446436.0,3925653.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,30.0,,,4.0,2.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
201,1830030,3,3446436.0,3925654.0,4.0,2.0,3.0,2.0,0.0,0.0,2.0,28.0,,,4.0,2.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
204,1830038,3,3446451.0,3925671.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,23.0,1.0,2.0,3.0,2.0,0.0,,,,,17.0,79.0,80.0,,10.0,,,,,0.0,0.0,0.0
207,1830046,3,3446464.0,3925686.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,25.0,3.0,1.0,3.0,2.0,0.0,,,,,17.0,81.0,,,10.0,,,,16.0,1.0,,0.0
210,1830165,3,3446710.0,3925984.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,26.0,1.0,2.0,9.0,2.0,1.0,,,,,17.0,81.0,,,26.0,,,,86.0,0.0,0.0,0.0
211,1830165,3,3446710.0,3925985.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,24.0,,,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
214,1830217,3,3446808.0,3926096.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,32.0,1.0,3.0,9.0,2.0,0.0,,,,,0.0,79.0,80.0,28.0,5.0,2.0,,,86.0,0.0,0.0,0.0
216,1830217,3,3446809.0,3926097.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,51.0,1.0,1.0,4.0,2.0,,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
219,1830243,3,3446869.0,3926163.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,18.0,0.0,2.0,9.0,2.0,0.0,,,,,38.0,16.0,42.0,,27.0,29.0,,,,0.0,0.0,0.0
221,1830243,3,3446870.0,3926164.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,46.0,1.0,2.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
222,1830243,3,3446870.0,3926165.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,14.0,,,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
225,1831161,3,3448666.0,3928361.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,47.0,1.0,1.0,3.0,2.0,1.0,,,,,28.0,26.0,,,17.0,29.0,,,,0.0,0.0,0.0
227,1831161,3,3448667.0,3928362.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,69.0,1.0,1.0,4.0,2.0,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
230,1831660,3,3449621.0,3929496.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,25.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,9.0,9.0,0.0
232,1831660,3,3449622.0,3929497.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,47.0,1.0,1.0,9.0,2.0,,,,,,0.0,28.0,4.0,,2.0,8.0,,,,0.0,0.0,0.0
235,1831698,3,3449692.0,3929582.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,23.0,1.0,1.0,9.0,2.0,,,,,,0.0,26.0,,,29.0,,,,,,,0.0
237,1831698,3,3449693.0,3929583.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,31.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
240,1832302,3,3450860.0,3930972.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,26.0,,,29.0,,,,,,,0.0
242,1832302,3,3450861.0,3930973.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,50.0,1.0,1.0,4.0,9.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
245,1832348,3,3450955.0,3931089.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,58.0,1.0,1.0,9.0,2.0,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
247,1832348,3,3450956.0,3931090.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,16.0,1.0,1.0,3.0,2.0,,,,,,0.0,28.0,,,2.0,,,,,0.0,0.0,0.0
250,1833315,3,3452699.0,3933230.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,28.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,2.0,52.0,,8.0,32.0,,,20.0,1.0,0.0,0.0
253,1833381,3,3452805.0,3933358.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,19.0,2.0,4.0,9.0,2.0,0.0,,,,,0.0,47.0,80.0,52.0,1.0,5.0,32.0,,,0.0,0.0,0.0
255,1833381,3,3452806.0,3933359.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,54.0,1.0,1.0,4.0,2.0,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
258,1833535,3,3453091.0,3933696.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,62.0,1.0,1.0,9.0,2.0,,,,,,0.0,28.0,,,2.0,,,,,,,0.0
260,1833535,3,3453092.0,3933697.0,2.0,2.0,1.0,1.0,0.0,0.0,1.0,52.0,1.0,1.0,9.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
262,1833535,3,3453093.0,3933698.0,3.0,3.0,1.0,1.0,0.0,0.0,2.0,29.0,1.0,1.0,3.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
264,1833535,3,3453094.0,3933699.0,4.0,4.0,1.0,1.0,0.0,0.0,1.0,31.0,1.0,1.0,4.0,2.0,0.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
267,1833678,3,3453351.0,3934009.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,19.0,2.0,4.0,4.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,86.0,0.0,0.0,0.0
271,1833867,3,3453707.0,3934435.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,54.0,3.0,1.0,9.0,2.0,,,,,,0.0,0.0,,,0.0,,,,,0.0,0.0,0.0
272,1833867,3,0.0,3934436.0,2.0,,1.0,3.0,0.0,0.0,1.0,38.0,,,3.0,,,1.0,1.0,5.0,2.0,36.0,56.0,71.0,,18.0,,,,,,1.0,0.0
275,1833899,3,3453766.0,3934503.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,37.0,1.0,1.0,9.0,2.0,1.0,,,,,0.0,0.0,,,0.0,,,,,,,0.0
277,1833899,3,3453767.0,3934504.0,2.0,2.0,1.0,1.0,0.0,0.0,2.0,42.0,1.0,1.0,4.0,2.0,1.0,,,,,0.0,28.0,20.0,4.0,2.0,4.0,,,,,,0.0
278,1833899,3,3453767.0,3934505.0,3.0,2.0,2.0,2.0,0.0,0.0,2.0,15.0,,,4.0,2.0,,,,,,0.0,0.0,,,0.0,,,,,,,0.0
281,1833971,3,3453899.0,3934674.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,9.0,9.0,9.0,9.0,,,,,,0.0,45.0,,,13.0,,,,,,,0.0
